message,label,source,conversation_id,turn_idx,event_type,fraud_type
El código OTP que recibió por SMS es el código de verificación que necesito para proteger su cuenta.,fraudulent,des_fraud,4,3,credential_request,solicitud_otp
Para cancelar la transferencia no autorizada de  debe realizar un contracargo de .,fraudulent,des_fraud,4,4,payment_pressure,solicitud_otp
Con el código de verificación podemos revertir todo y su cuenta quedará segura.,fraudulent,des_fraud,4,5,recovery_offer,solicitud_otp
"Buenos días, revisamos su CV y nos interesa contactarle de compañía de outsourcing.",fraudulent,des_fraud,5,0,contact_init,empleo_falso
"La empresa requiere un depósito inicial de $25,000 mensuales para el kit de trabajo remoto.",fraudulent,des_fraud,5,1,problem_announce,empleo_falso
"Hay otro candidato interesado, debe confirmar su participación los lugares son limitados.",fraudulent,des_fraud,5,2,urgency_inject,empleo_falso
"Sin confirmación los lugares son limitados, el contrato se ofrecerá a otro candidato.",fraudulent,des_fraud,5,3,threat_escalate,empleo_falso
"Deposite los $25,000 mensuales del kit y le enviamos el contrato firmado por compañía de outsourcing de inmediato.",fraudulent,des_fraud,5,4,recovery_offer,empleo_falso
"Hola, ¿todavía tiene disponible lo que anunció en Facebook Marketplace?",fraudulent,des_fraud,6,0,contact_init,compraventa_fraude
"Para apartar el artículo necesito $8,000 MXN de anticipo, el resto al recibir.",fraudulent,des_fraud,6,1,problem_announce,compraventa_fraude
El artículo solo lo aparto hoy mismo o lo vendo a otro comprador con pago confirmado.,fraudulent,des_fraud,6,2,urgency_inject,compraventa_fraude
"Deme su CLABE interbancaria y le transfiero los $8,000 MXN de inmediato.",fraudulent,des_fraud,6,3,credential_request,compraventa_fraude
"El precio sube mañana si no cerramos hoy, aproveche que sigue en $8,000 MXN.",fraudulent,des_fraud,6,4,threat_escalate,compraventa_fraude
"Acuerdo: usted paga, yo envío. Comparta su dirección y hago el paquete.",fraudulent,des_fraud,6,5,recovery_offer,compraventa_fraude
"Buenos días, le habla un asesor autorizado de Citibanamex, ¿tiene un momento?",fraudulent,des_fraud,7,0,contact_init,phishing_bancario
Este es un proceso estándar de seguridad que Citibanamex realiza para proteger a sus clientes más importantes.,fraudulent,des_fraud,7,1,trust_build,phishing_bancario
Se realizó un intento de fraude en su cuenta de Citibanamex y la tuvimos que suspendida.,fraudulent,des_fraud,7,2,problem_announce,phishing_bancario
Tiene en las próximas 24 horas para resolver esto o su tarjeta de crédito será cancelado permanentemente.,fraudulent,des_fraud,7,3,urgency_inject,phishing_bancario
El sistema requiere que confirme su número de tarjeta para proceder con la verificación.,fraudulent,des_fraud,7,4,credential_request,phishing_bancario
El proceso de recuperación es rápido: visite verificacion-cuenta.mx y siga las instrucciones con su número de tarjeta.,fraudulent,des_fraud,7,5,recovery_offer,phishing_bancario
"Estimado contribuyente, le contactamos de el Servicio de Administración Tributaria.",fraudulent,des_fraud,8,0,contact_init,sat_devolucion
"Detectamos que su declaración tiene un saldo a favor de $8,000 pesos sin reclamar.",fraudulent,des_fraud,8,1,problem_announce,sat_devolucion
"El sistema fiscal cierra los expedientes vencidos, el suyo expira antes del cierre del ejercicio fiscal.",fraudulent,des_fraud,8,2,urgency_inject,sat_devolucion
Ingrese su e.firma en el portal sat-devolucion.com/claim para validar su expediente.,fraudulent,des_fraud,8,3,credential_request,sat_devolucion
El incumplimiento puede derivar en un crédito fiscal a cargo y embargo de bienes.,fraudulent,des_fraud,8,4,threat_escalate,sat_devolucion
El trámite es sencillo: llame al  con su e.firma para iniciar la transferencia.,fraudulent,des_fraud,8,5,recovery_offer,sat_devolucion
Tiene un paquete en proceso de entrega con Estafeta.,fraudulent,des_fraud,9,0,contact_init,paqueteria_falsa
El envío de Estafeta fue detenido en aduana y requiere un pago de $199 de arancel.,fraudulent,des_fraud,9,1,problem_announce,paqueteria_falsa
Tiene en 24 horas o será devuelto para liquidar los $199 de arancel antes de que el paquete se remate.,fraudulent,des_fraud,9,2,urgency_inject,paqueteria_falsa
El pago de $199 de arancel debe realizarse en 24 horas o será devuelto para liberar su paquete.,fraudulent,des_fraud,9,3,payment_pressure,paqueteria_falsa
"Los cargos de almacenaje aumentan cada día, ya suma $199 de arancel y sigue creciendo.",fraudulent,des_fraud,9,4,threat_escalate,paqueteria_falsa
"Una vez confirmado el pago en correosdemexico.rastreo.net, la entrega se programa para el siguiente día hábil.",fraudulent,des_fraud,9,5,recovery_offer,paqueteria_falsa
¡Felicidades! Ha sido seleccionado como ganador en el sorteo de OXXO.,fraudulent,des_fraud,10,0,contact_init,premio_oxxo
Tenemos respaldo legal del concurso en OXXO para garantizar la entrega de premios.,fraudulent,des_fraud,10,1,trust_build,premio_oxxo
Solo necesita depositar un automóvil 0 km de impuestos y le transferimos su premio de un automóvil 0 km.,fraudulent,des_fraud,10,2,recovery_offer,premio_oxxo
"Hola, le llama el sistema de verificación de BBVA.",fraudulent,des_fraud,11,0,contact_init,solicitud_otp
Nuestro sistema de BBVA detectó un intento de acceso desde un dispositivo no reconocido.,fraudulent,des_fraud,11,1,trust_build,solicitud_otp
Proporcione el clave temporal ahora y cancelamos el cargo inmediatamente.,fraudulent,des_fraud,11,2,recovery_offer,solicitud_otp
Le escribimos porque su perfil fue seleccionado para una oportunidad en compañía de outsourcing.,fraudulent,des_fraud,12,0,contact_init,empleo_falso
La empresa requiere un depósito inicial de $350 USD semanales para el kit de trabajo remoto.,fraudulent,des_fraud,12,1,problem_announce,empleo_falso
El proceso de incorporación inicia esta semana para iniciar y necesitamos su confirmación.,fraudulent,des_fraud,12,2,urgency_inject,empleo_falso
El sistema corporativo de compañía de outsourcing requiere su acta de nacimiento para crear su perfil de empleado.,fraudulent,des_fraud,12,3,credential_request,empleo_falso
La empresa tomará la falta de pago como desinterés y cerrará su expediente.,fraudulent,des_fraud,12,4,threat_escalate,empleo_falso
"El pago se descuenta del primer salario, es solo un trámite administrativo de compañía de outsourcing.",fraudulent,des_fraud,12,5,recovery_offer,empleo_falso
"Hola, vi su anuncio en Facebook Marketplace y me interesa el artículo.",fraudulent,des_fraud,13,0,contact_init,compraventa_fraude
"El artículo vale $1,200 de anticipo y necesito confirmación de pago antes de separarlo.",fraudulent,des_fraud,13,1,problem_announce,compraventa_fraude
El sistema de Facebook Marketplace requiere su número de cuenta para procesar la compra.,fraudulent,des_fraud,13,2,credential_request,compraventa_fraude
"Si no confirma el pago el artículo ya tiene otros interesados, lo vendo al otro comprador que ya está esperando.",fraudulent,des_fraud,13,3,threat_escalate,compraventa_fraude
Haga el depósito a mi CLABE y le mando foto del envío con número de guía.,fraudulent,des_fraud,13,4,recovery_offer,compraventa_fraude
"Hola, soy el representante de atención al cliente de HSBC.",fraudulent,des_fraud,14,0,contact_init,phishing_bancario
Nuestros registros muestran que usted es cliente desde hace varios años y valoramos su lealtad a HSBC.,fraudulent,des_fraud,14,1,trust_build,phishing_bancario
Se realizó un intento de fraude en su cuenta de HSBC y la tuvimos que suspendida.,fraudulent,des_fraud,14,2,problem_announce,phishing_bancario
La cuenta será cancelada y el saldo congelado si no completamos la verificación hoy mismo antes de las 6 pm.,fraudulent,des_fraud,14,3,threat_escalate,phishing_bancario
La solución es simple: ingrese a hsbc-mx.net/login con su código OTP y el sistema lo desbloqueará.,fraudulent,des_fraud,14,4,recovery_offer,phishing_bancario
"Estimado contribuyente, le contactamos de SAT.",fraudulent,des_fraud,15,0,contact_init,sat_devolucion
El trámite que le informamos está respaldado por la resolución miscelánea fiscal vigente.,fraudulent,des_fraud,15,1,trust_build,sat_devolucion
"El SAT tiene pendiente un crédito fiscal de $12,500 MXN a su nombre pendiente de validar.",fraudulent,des_fraud,15,2,problem_announce,sat_devolucion
"Si no completa el trámite este mes calendario, SAT emitirá un requerimiento formal.",fraudulent,des_fraud,15,3,threat_escalate,sat_devolucion
El trámite es sencillo: llame al  con su RFC para iniciar la transferencia.,fraudulent,des_fraud,15,4,recovery_offer,sat_devolucion
Le informamos que DHL tiene un paquete a su nombre.,fraudulent,des_fraud,16,0,contact_init,paqueteria_falsa
El paquete no pudo ser entregado y ahora está bloqueado por aduana con un cargo de $199 de arancel.,fraudulent,des_fraud,16,1,problem_announce,paqueteria_falsa
"Los cargos de almacenaje aumentan cada día, ya suma $199 de arancel y sigue creciendo.",fraudulent,des_fraud,16,2,threat_escalate,paqueteria_falsa
Llame al 800 999 3333 con su tarjeta lista para pagar los $199 de arancel y coordinamos la entrega.,fraudulent,des_fraud,16,3,recovery_offer,paqueteria_falsa
¡Felicidades! Ha sido seleccionado como ganador en el sorteo de Suburbia.,fraudulent,des_fraud,17,0,contact_init,premio_oxxo
"Su premio de $25,000 MXN está acumulado en el sistema en nuestros sistemas de Suburbia.",fraudulent,des_fraud,17,1,problem_announce,premio_oxxo
"Si no confirma sus datos antes del viernes, el premio pasa al siguiente ganador.",fraudulent,des_fraud,17,2,urgency_inject,premio_oxxo
"El ganador es responsable del impuesto sobre premios equivalente a $25,000 MXN.",fraudulent,des_fraud,17,3,payment_pressure,premio_oxxo
La empresa Suburbia no puede mantener el premio reservado más tiempo sin confirmación.,fraudulent,des_fraud,17,4,threat_escalate,premio_oxxo
"Solo necesita depositar $25,000 MXN de impuestos y le transferimos su premio de $25,000 MXN.",fraudulent,des_fraud,17,5,recovery_offer,premio_oxxo
"Buen día, detectamos actividad en su cuenta de BBVA.",fraudulent,des_fraud,18,0,contact_init,solicitud_otp
Su cuenta muestra un cargo no reconocido de  que debemos cancelar ahora.,fraudulent,des_fraud,18,1,problem_announce,solicitud_otp
Tiene ahora mismo para confirmar el código antes de que la operación se procese.,fraudulent,des_fraud,18,2,urgency_inject,solicitud_otp
El código OTP que recibió por SMS es el clave temporal que necesito para proteger su cuenta.,fraudulent,des_fraud,18,3,credential_request,solicitud_otp
Para proteger su cuenta realice una transferencia de  a la cuenta de seguridad.,fraudulent,des_fraud,18,4,payment_pressure,solicitud_otp
"Si no proporciona el código ahora mismo, la transferencia de  se completará.",fraudulent,des_fraud,18,5,threat_escalate,solicitud_otp
"Hola, somos reclutadores de empresa internacional y encontramos su perfil muy interesante.",fraudulent,des_fraud,19,0,contact_init,empleo_falso
Hay un cargo administrativo de $500 dólares por semana para procesar su expediente en empresa internacional.,fraudulent,des_fraud,19,1,problem_announce,empleo_falso
La empresa necesita su respuesta los lugares son limitados para reservar su posición.,fraudulent,des_fraud,19,2,urgency_inject,empleo_falso
Suba su RFC al formulario en bolsa-empleo-internacional.net para continuar con el proceso.,fraudulent,des_fraud,19,3,credential_request,empleo_falso
El contrato se firma después de confirmar el pago de $500 dólares por semana de membresía.,fraudulent,des_fraud,19,4,payment_pressure,empleo_falso
"Sin confirmación los lugares son limitados, el contrato se ofrecerá a otro candidato.",fraudulent,des_fraud,19,5,threat_escalate,empleo_falso
Vi su producto en MercadoLibre y me interesa comprarlo.,fraudulent,des_fraud,20,0,contact_init,compraventa_fraude
"El artículo vale $1,200 de anticipo y necesito confirmación de pago antes de separarlo.",fraudulent,des_fraud,20,1,problem_announce,compraventa_fraude
"El precio especial solo aplica hoy mismo o lo vendo a otro comprador, después regresa al precio normal.",fraudulent,des_fraud,20,2,urgency_inject,compraventa_fraude
"Mándeme su datos bancarios y le hago la transferencia por los $1,200 de anticipo acordados.",fraudulent,des_fraud,20,3,credential_request,compraventa_fraude
"Acuerdo: usted paga, yo envío. Comparta su dirección y hago el paquete.",fraudulent,des_fraud,20,4,recovery_offer,compraventa_fraude
"Hola, soy el representante de atención al cliente de Banamex.",fraudulent,des_fraud,21,0,contact_init,phishing_bancario
Se realizó un intento de fraude en su cuenta de Banamex y la tuvimos que en revisión de seguridad.,fraudulent,des_fraud,21,1,problem_announce,phishing_bancario
"Si no completamos la verificación en las próximas 24 horas, el banco deberá emitir una nueva tarjeta con demora de 15 días.",fraudulent,des_fraud,21,2,urgency_inject,phishing_bancario
La cuenta será cancelada y el saldo congelado si no completamos la verificación en las próximas 24 horas.,fraudulent,des_fraud,21,3,threat_escalate,phishing_bancario
En cuanto confirme su contraseña en banco-online.net/verify su cuenta quedará reactivada en minutos.,fraudulent,des_fraud,21,4,recovery_offer,phishing_bancario
"Buenos días, le habla un funcionario de Hacienda respecto a su declaración.",fraudulent,des_fraud,22,0,contact_init,sat_devolucion
"Tiene una devolución de impuestos de $8,000 pesos que lleva meses bloqueada por verificación en nuestro sistema.",fraudulent,des_fraud,22,1,problem_announce,sat_devolucion
El plazo legal para recibir su crédito fiscal vence este mes calendario.,fraudulent,des_fraud,22,2,urgency_inject,sat_devolucion
"Proporcione su e.firma para que podamos procesar su reembolso de $8,000 pesos.",fraudulent,des_fraud,22,3,credential_request,sat_devolucion
Ignorar este proceso podría resultar en multas y recargos sobre su declaración.,fraudulent,des_fraud,22,4,threat_escalate,sat_devolucion
"Solo necesita hacer un depósito de $8,000 pesos para cubrir gastos y recibir su reembolso.",fraudulent,des_fraud,22,5,recovery_offer,sat_devolucion
"Buen día, le contactamos de Estafeta respecto a un envío pendiente.",fraudulent,des_fraud,23,0,contact_init,paqueteria_falsa
"Este es un paquete certificado de Estafeta, por eso requerimos su validación.",fraudulent,des_fraud,23,1,trust_build,paqueteria_falsa
El envío de Estafeta fue detenido en aduana y requiere un pago de $280 de impuesto.,fraudulent,des_fraud,23,2,problem_announce,paqueteria_falsa
"Sin el pago de $280 de impuesto, el contenido será donado a instituciones de beneficencia.",fraudulent,des_fraud,23,3,threat_escalate,paqueteria_falsa
"Una vez confirmado el pago en dhl-seguimiento.com, la entrega se programa para el siguiente día hábil.",fraudulent,des_fraud,23,4,recovery_offer,paqueteria_falsa
Le contactamos de Soriana para informarle de una gran noticia.,fraudulent,des_fraud,24,0,contact_init,premio_oxxo
"El monto de $15,000 en mercancías ganado en Soriana no ha podido ser transferido porque falta verificar su identidad.",fraudulent,des_fraud,24,1,problem_announce,premio_oxxo
"Para depositar su premio de $15,000 en mercancías necesito su CURP.",fraudulent,des_fraud,24,2,credential_request,premio_oxxo
La empresa Soriana no puede mantener el premio reservado más tiempo sin confirmación.,fraudulent,des_fraud,24,3,threat_escalate,premio_oxxo
"El proceso es: paga $15,000 en mercancías de ISR → le depositamos $15,000 en mercancías del premio en 48 horas.",fraudulent,des_fraud,24,4,recovery_offer,premio_oxxo
Le contactamos del área de seguridad de Bancomer.,fraudulent,des_fraud,25,0,contact_init,solicitud_otp
Hay una operación de  en proceso desde su cuenta que no fue autorizada por usted.,fraudulent,des_fraud,25,1,problem_announce,solicitud_otp
Tiene en 10 minutos o la operación se cancela para confirmar el código antes de que la operación se procese.,fraudulent,des_fraud,25,2,urgency_inject,solicitud_otp
¿Cuál es el NIP de un solo uso que llegó a su celular? Lo necesito para cancelar la operación.,fraudulent,des_fraud,25,3,credential_request,solicitud_otp
Dígame el código y en segundos bloqueamos la transacción antes de que se procese.,fraudulent,des_fraud,25,4,recovery_offer,solicitud_otp
Le escribimos porque su perfil fue seleccionado para una oportunidad en Amazon México.,fraudulent,des_fraud,26,0,contact_init,empleo_falso
"Para formalizar su contratación necesitamos ciertos documentos y un depósito de garantía de $18,000 pesos al mes.",fraudulent,des_fraud,26,1,problem_announce,empleo_falso
"Hay otro candidato interesado, debe confirmar su participación esta semana para iniciar.",fraudulent,des_fraud,26,2,urgency_inject,empleo_falso
"Para iniciar realice el depósito de $18,000 pesos al mes por el kit de trabajo remoto.",fraudulent,des_fraud,26,3,payment_pressure,empleo_falso
"Deposite los $18,000 pesos al mes del kit y le enviamos el contrato firmado por Amazon México de inmediato.",fraudulent,des_fraud,26,4,recovery_offer,empleo_falso
"Hola, vi su anuncio en OLX y me interesa el artículo.",fraudulent,des_fraud,27,0,contact_init,compraventa_fraude
"Soy una persona seria, puede verificar mi historial de transacciones en OLX.",fraudulent,des_fraud,27,1,trust_build,compraventa_fraude
Le doy el número de cuenta para que transfiera y coordino el envío hoy mismo.,fraudulent,des_fraud,27,2,recovery_offer,compraventa_fraude
"Buenas tardes, le comunicamos del departamento de seguridad de Scotiabank.",fraudulent,des_fraud,28,0,contact_init,phishing_bancario
Su cuenta en Scotiabank ha sido comprometida por actividad inusual.,fraudulent,des_fraud,28,1,problem_announce,phishing_bancario
"Sin verificación inmediatamente, su historial crediticio en Scotiabank podría verse afectado.",fraudulent,des_fraud,28,2,threat_escalate,phishing_bancario
El proceso de recuperación es rápido: visite hsbc-mx.net/login y siga las instrucciones con su clave dinámica.,fraudulent,des_fraud,28,3,recovery_offer,phishing_bancario
"Buenas tardes, le comunicamos de Hacienda sobre su situación fiscal.",fraudulent,des_fraud,29,0,contact_init,sat_devolucion
El trámite que le informamos está respaldado por la resolución miscelánea fiscal vigente.,fraudulent,des_fraud,29,1,trust_build,sat_devolucion
"Si no reclama su devolución de $4,200 de devolución en 48 horas hábiles, los fondos regresan a Hacienda.",fraudulent,des_fraud,29,2,urgency_inject,sat_devolucion
"Para recibir su devolución de $4,200 de devolución debe primero pagar $4,200 de devolución de gastos notariales.",fraudulent,des_fraud,29,3,payment_pressure,sat_devolucion
El SAT podría iniciar una auditoría a su RFC si no regulariza su situación en 48 horas hábiles.,fraudulent,des_fraud,29,4,threat_escalate,sat_devolucion
El trámite es sencillo: llame al  con su e.firma para iniciar la transferencia.,fraudulent,des_fraud,29,5,recovery_offer,sat_devolucion
Tiene un paquete en proceso de entrega con FedEx.,fraudulent,des_fraud,30,0,contact_init,paqueteria_falsa
Nuestro sistema de rastreo confirma que el envío llegó esta mañana.,fraudulent,des_fraud,30,1,trust_build,paqueteria_falsa
Hay un problema con su paquete: está bloqueado por aduana y necesita liquidar $199 de arancel de arancel.,fraudulent,des_fraud,30,2,problem_announce,paqueteria_falsa
"Si no paga en 2 días o se regresará al remitente, el paquete será destruido según el reglamento aduanal.",fraudulent,des_fraud,30,3,urgency_inject,paqueteria_falsa
Ingrese los datos de pago en paquete-retenido.mx para cubrir los $199 de arancel de arancel.,fraudulent,des_fraud,30,4,credential_request,paqueteria_falsa
El pago de $199 de arancel debe realizarse en 2 días o se regresará al remitente para liberar su paquete.,fraudulent,des_fraud,30,5,payment_pressure,paqueteria_falsa
¡Felicidades! Ha sido seleccionado como ganador en el sorteo de Bodega Aurrerá.,fraudulent,des_fraud,31,0,contact_init,premio_oxxo
Este sorteo fue validado por la Secretaría de Gobernación con permiso número SEGOB/2024.,fraudulent,des_fraud,31,1,trust_build,premio_oxxo
"Si no confirma sus datos antes del viernes, el premio pasa al siguiente ganador.",fraudulent,des_fraud,31,2,urgency_inject,premio_oxxo
Para recibir su premio de un viaje todo incluido debe pagar un viaje todo incluido de impuestos por sorteo.,fraudulent,des_fraud,31,3,payment_pressure,premio_oxxo
"Si no reclama antes del viernes, el premio de un viaje todo incluido se asignará automáticamente al suplente.",fraudulent,des_fraud,31,4,threat_escalate,premio_oxxo
Llame al 800 555 6789 para confirmar sus datos y programar la entrega del premio.,fraudulent,des_fraud,31,5,recovery_offer,premio_oxxo
Somos el equipo de seguridad digital de Santander.,fraudulent,des_fraud,32,0,contact_init,solicitud_otp
Nuestro sistema de Santander detectó un intento de acceso desde un dispositivo no reconocido.,fraudulent,des_fraud,32,1,trust_build,solicitud_otp
Proporcione el código de verificación ahora y cancelamos el cargo inmediatamente.,fraudulent,des_fraud,32,2,recovery_offer,solicitud_otp
Le contactamos de recursos humanos de compañía de outsourcing sobre una vacante.,fraudulent,des_fraud,33,0,contact_init,empleo_falso
"El proceso requiere que tramite una membresía corporativa de $25,000 mensuales para tener acceso a las herramientas.",fraudulent,des_fraud,33,1,problem_announce,empleo_falso
La empresa necesita su respuesta esta semana para iniciar para reservar su posición.,fraudulent,des_fraud,33,2,urgency_inject,empleo_falso
"El primer mes de herramientas tiene costo de $25,000 mensuales, se descuenta del primer sueldo.",fraudulent,des_fraud,33,3,payment_pressure,empleo_falso
"Si no realiza el pago esta semana para iniciar, la plaza será asignada al siguiente candidato.",fraudulent,des_fraud,33,4,threat_escalate,empleo_falso
"Deposite los $25,000 mensuales del kit y le enviamos el contrato firmado por compañía de outsourcing de inmediato.",fraudulent,des_fraud,33,5,recovery_offer,empleo_falso
"Buenos días, estoy interesado en lo que publicó en MercadoLibre.",fraudulent,des_fraud,34,0,contact_init,compraventa_fraude
Prefiero usar el sistema de pago seguro de MercadoLibre para mayor protección de ambos.,fraudulent,des_fraud,34,1,trust_build,compraventa_fraude
"El artículo vale $3,500 pesos y necesito confirmación de pago antes de separarlo.",fraudulent,des_fraud,34,2,problem_announce,compraventa_fraude
"Mándeme su número de cuenta y le hago la transferencia por los $3,500 pesos acordados.",fraudulent,des_fraud,34,3,credential_request,compraventa_fraude
"Para apartar el artículo envíe $3,500 pesos de anticipo a mi cuenta.",fraudulent,des_fraud,34,4,payment_pressure,compraventa_fraude
"Pague los $3,500 pesos por transferencia y en cuanto confirme hago el paquete.",fraudulent,des_fraud,34,5,recovery_offer,compraventa_fraude
"Hola, soy el representante de atención al cliente de HSBC.",fraudulent,des_fraud,35,0,contact_init,phishing_bancario
"Para su tranquilidad, le recordamos que HSBC nunca le pedirá contraseñas por teléfono, salvo en este proceso de verificación interna.",fraudulent,des_fraud,35,1,trust_build,phishing_bancario
Hemos detectado un acceso no autorizado a su acceso a banca en línea de HSBC.,fraudulent,des_fraud,35,2,problem_announce,phishing_bancario
Tiene hoy mismo antes de las 6 pm para resolver esto o su acceso a banca en línea será cancelado permanentemente.,fraudulent,des_fraud,35,3,urgency_inject,phishing_bancario
Para desbloquear su cuenta necesito que me proporcione su código OTP de HSBC.,fraudulent,des_fraud,35,4,credential_request,phishing_bancario
Solo necesita llamar al 800 123 4567 con su código OTP listo y resolvemos esto en 5 minutos.,fraudulent,des_fraud,35,5,recovery_offer,phishing_bancario
"Buenas tardes, le comunicamos de SAT sobre su situación fiscal.",fraudulent,des_fraud,36,0,contact_init,sat_devolucion
"Tiene una devolución de impuestos de $6,750 MXN en impuestos retenidos que lleva meses pendiente de validar en nuestro sistema.",fraudulent,des_fraud,36,1,problem_announce,sat_devolucion
"Si no completa el trámite este mes calendario, SAT emitirá un requerimiento formal.",fraudulent,des_fraud,36,2,threat_escalate,sat_devolucion
Complete el formulario en sat-devolucion.com/claim con su CURP y recibirá su devolución pronto.,fraudulent,des_fraud,36,3,recovery_offer,sat_devolucion
Tiene un paquete en proceso de entrega con Estafeta.,fraudulent,des_fraud,37,0,contact_init,paqueteria_falsa
"Este es un paquete certificado de Estafeta, por eso requerimos su validación.",fraudulent,des_fraud,37,1,trust_build,paqueteria_falsa
Su paquete está bloqueado por aduana en nuestra bodega por un importe pendiente de $280 de impuesto.,fraudulent,des_fraud,37,2,problem_announce,paqueteria_falsa
"Los cargos de almacenaje aumentan cada día, ya suma $280 de impuesto y sigue creciendo.",fraudulent,des_fraud,37,3,threat_escalate,paqueteria_falsa
El pago de $280 de impuesto en efectivo en cualquier OXXO usando la referencia que le damos libera el paquete.,fraudulent,des_fraud,37,4,recovery_offer,paqueteria_falsa
Le informamos que resultó ganador de nuestro concurso mensual en Coppel.,fraudulent,des_fraud,38,0,contact_init,premio_oxxo
"El monto de $25,000 MXN ganado en Coppel no ha podido ser transferido porque falta verificar su identidad.",fraudulent,des_fraud,38,1,problem_announce,premio_oxxo
El departamento de premios de Coppel necesita su datos bancarios para el depósito para la transferencia.,fraudulent,des_fraud,38,2,credential_request,premio_oxxo
"Solo necesita depositar $25,000 MXN de impuestos y le transferimos su premio de $25,000 MXN.",fraudulent,des_fraud,38,3,recovery_offer,premio_oxxo
Somos el equipo de seguridad digital de Banorte.,fraudulent,des_fraud,39,0,contact_init,solicitud_otp
Su cuenta muestra un cargo no reconocido de  que debemos cancelar ahora.,fraudulent,des_fraud,39,1,problem_announce,solicitud_otp
"Sin el OTP, no podemos detener el cargo y será muy difícil recuperar los .",fraudulent,des_fraud,39,2,threat_escalate,solicitud_otp
"El código OTP es la única forma de detener el cargo de , compártalo ahora.",fraudulent,des_fraud,39,3,recovery_offer,solicitud_otp
Le contactamos de recursos humanos de firma de consultoría sobre una vacante.,fraudulent,des_fraud,40,0,contact_init,empleo_falso
firma de consultoría es una empresa líder con más de 20 años de experiencia y presencia en 15 países.,fraudulent,des_fraud,40,1,trust_build,empleo_falso
"El proceso requiere que tramite una membresía corporativa de $18,000 pesos al mes para tener acceso a las herramientas.",fraudulent,des_fraud,40,2,problem_announce,empleo_falso
