message,label,source
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",fraudulent,SMSSpamCollection
"Sorry, I'll call later in meeting.",legitimate,SMSSpamCollection
Tell where you reached,legitimate,SMSSpamCollection
Yes..gauti and sehwag out of odi series.,legitimate,SMSSpamCollection
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,legitimate,SMSSpamCollection
Ha ha ha good joke. Girls are situation seekers.,legitimate,SMSSpamCollection
Its a part of checking IQ,legitimate,SMSSpamCollection
"Sorry my roommates took forever, it ok if I come by now?",legitimate,SMSSpamCollection
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,legitimate,SMSSpamCollection
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",fraudulent,SMSSpamCollection
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",legitimate,SMSSpamCollection
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",fraudulent,SMSSpamCollection
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",fraudulent,SMSSpamCollection
I plane to give on this month end.,legitimate,SMSSpamCollection
Wah lucky man... Then can save money... Hee...,legitimate,SMSSpamCollection
Finished class where are you.,legitimate,SMSSpamCollection
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,legitimate,SMSSpamCollection
K..k:)where are you?how did you performed?,legitimate,SMSSpamCollection
U can call me now...,legitimate,SMSSpamCollection
I am waiting machan. Call me once you free.,legitimate,SMSSpamCollection
Thats cool. i am a gentleman and will treat you with dignity and respect.,legitimate,SMSSpamCollection
I like you peoples very much:) but am very shy pa.,legitimate,SMSSpamCollection
Does not operate after  &lt;#&gt;  or what,legitimate,SMSSpamCollection
Its not the same here. Still looking for a job. How much do Ta's earn there.,legitimate,SMSSpamCollection
"Sorry, I'll call later",legitimate,SMSSpamCollection
K. Did you call me just now ah? ,legitimate,SMSSpamCollection
Ok i am on the way to home hi hi,legitimate,SMSSpamCollection
You will be in the place of that man,legitimate,SMSSpamCollection
Yup next stop.,legitimate,SMSSpamCollection
"I call you later, don't have network. If urgnt, sms me.",legitimate,SMSSpamCollection
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,legitimate,SMSSpamCollection
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,legitimate,SMSSpamCollection
I'm really not up to it still tonight babe,legitimate,SMSSpamCollection
"Ela kano.,il download, come wen ur free..",legitimate,SMSSpamCollection
Yeah do! Don‘t stand to close tho- you‘ll catch something!,legitimate,SMSSpamCollection
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,legitimate,SMSSpamCollection
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,legitimate,SMSSpamCollection
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,fraudulent,SMSSpamCollection
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,legitimate,SMSSpamCollection
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",fraudulent,SMSSpamCollection
Watching telugu movie..wat abt u?,legitimate,SMSSpamCollection
i see. When we finish we have loads of loans to pay,legitimate,SMSSpamCollection
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",legitimate,SMSSpamCollection
I see a cup of coffee animation,legitimate,SMSSpamCollection
Please don't text me anymore. I have nothing else to say.,legitimate,SMSSpamCollection
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,legitimate,SMSSpamCollection
I'm still looking for a car to buy. And have not gone 4the driving test yet.,legitimate,SMSSpamCollection
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,legitimate,SMSSpamCollection
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",legitimate,SMSSpamCollection
Umma my life and vava umma love you lot dear,legitimate,SMSSpamCollection
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,legitimate,SMSSpamCollection
"Aight, I'll hit you up when I get some cash",legitimate,SMSSpamCollection
How would my ip address test that considering my computer isn't a minecraft server,legitimate,SMSSpamCollection
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,legitimate,SMSSpamCollection
Dont worry. I guess he's busy.,legitimate,SMSSpamCollection
What is the plural of the noun research?,legitimate,SMSSpamCollection
Going for dinner.msg you after.,legitimate,SMSSpamCollection
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,legitimate,SMSSpamCollection
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,fraudulent,SMSSpamCollection
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",legitimate,SMSSpamCollection
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",legitimate,SMSSpamCollection
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,fraudulent,SMSSpamCollection
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,legitimate,SMSSpamCollection
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,legitimate,SMSSpamCollection
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,fraudulent,SMSSpamCollection
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",fraudulent,SMSSpamCollection
here is my new address -apples&pairs&all that malarky,legitimate,SMSSpamCollection
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,fraudulent,SMSSpamCollection
I am going to sao mu today. Will be done only at 12 ,legitimate,SMSSpamCollection
Ü predict wat time ü'll finish buying?,legitimate,SMSSpamCollection
"Good stuff, will do.",legitimate,SMSSpamCollection
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",legitimate,SMSSpamCollection
Are you there in room.,legitimate,SMSSpamCollection
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,legitimate,SMSSpamCollection
K..k:)how much does it cost?,legitimate,SMSSpamCollection
I'm home.,legitimate,SMSSpamCollection
"Dear, will call Tmorrow.pls accomodate.",legitimate,SMSSpamCollection
First answer my question.,legitimate,SMSSpamCollection
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,fraudulent,SMSSpamCollection
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,fraudulent,SMSSpamCollection
I only haf msn. It's yijue@hotmail.com,legitimate,SMSSpamCollection
He is there. You call and meet him,legitimate,SMSSpamCollection
No no. I will check all rooms befor activities,legitimate,SMSSpamCollection
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,fraudulent,SMSSpamCollection
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,legitimate,SMSSpamCollection
"K, text me when you're on the way",legitimate,SMSSpamCollection
"Sir, Waiting for your mail.",legitimate,SMSSpamCollection
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",legitimate,SMSSpamCollection
I know you are. Can you pls open the back?,legitimate,SMSSpamCollection
Yes see ya not on the dot,legitimate,SMSSpamCollection
Whats the staff name who is taking class for us?,legitimate,SMSSpamCollection
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",fraudulent,SMSSpamCollection
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,legitimate,SMSSpamCollection
K..i deleted my contact that why?,legitimate,SMSSpamCollection
Sindu got job in birla soft ..,legitimate,SMSSpamCollection
The wine is flowing and i'm i have nevering..,legitimate,SMSSpamCollection
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,legitimate,SMSSpamCollection
Ok... Ur typical reply...,legitimate,SMSSpamCollection
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,legitimate,SMSSpamCollection
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",legitimate,SMSSpamCollection
Aaooooright are you at work?,legitimate,SMSSpamCollection
I'm leaving my house now...,legitimate,SMSSpamCollection
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",legitimate,SMSSpamCollection
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,fraudulent,SMSSpamCollection
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,fraudulent,SMSSpamCollection
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,legitimate,SMSSpamCollection
New car and house for my parents.:)i have only new job in hand:),legitimate,SMSSpamCollection
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,legitimate,SMSSpamCollection
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,fraudulent,SMSSpamCollection
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",fraudulent,SMSSpamCollection
I place all ur points on e cultures module already.,legitimate,SMSSpamCollection
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,fraudulent,SMSSpamCollection
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",legitimate,SMSSpamCollection
Great escape. I fancy the bridge but needs her lager. See you tomo ,legitimate,SMSSpamCollection
Yes :)it completely in out of form:)clark also utter waste.,legitimate,SMSSpamCollection
"Sir, I need AXIS BANK account no and bank address.",legitimate,SMSSpamCollection
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",legitimate,SMSSpamCollection
What time you coming down later? ,legitimate,SMSSpamCollection
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",legitimate,SMSSpamCollection
"Well, i'm gonna finish my bath now. Have a good...fine night.",legitimate,SMSSpamCollection
Let me know when you've got the money so carlos can make the call,legitimate,SMSSpamCollection
U still going to the mall?,legitimate,SMSSpamCollection
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",legitimate,SMSSpamCollection
Text her. If she doesnt reply let me know so i can have her log in,legitimate,SMSSpamCollection
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,legitimate,SMSSpamCollection
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,legitimate,SMSSpamCollection
Lol no. U can trust me.,legitimate,SMSSpamCollection
ok. I am a gentleman and will treat you with dignity and respect.,legitimate,SMSSpamCollection
"He will, you guys close?",legitimate,SMSSpamCollection
Going on nothing great.bye,legitimate,SMSSpamCollection
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,legitimate,SMSSpamCollection
"Haha awesome, be there in a minute",legitimate,SMSSpamCollection
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,fraudulent,SMSSpamCollection
Have you got Xmas radio times. If not i will get it now,legitimate,SMSSpamCollection
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,legitimate,SMSSpamCollection
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,fraudulent,SMSSpamCollection
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,legitimate,SMSSpamCollection
Hi :)finally i completed the course:),legitimate,SMSSpamCollection
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,legitimate,SMSSpamCollection
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,legitimate,SMSSpamCollection
Gud mrng dear hav a nice day,legitimate,SMSSpamCollection
Did u got that persons story,legitimate,SMSSpamCollection
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,legitimate,SMSSpamCollection
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,legitimate,SMSSpamCollection
"Found it, ENC  &lt;#&gt; , where you at?",legitimate,SMSSpamCollection
I sent you  &lt;#&gt;  bucks,legitimate,SMSSpamCollection
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,legitimate,SMSSpamCollection
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,legitimate,SMSSpamCollection
Goodmorning sleeping ga.,legitimate,SMSSpamCollection
U call me alter at 11 ok.,legitimate,SMSSpamCollection
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,legitimate,SMSSpamCollection
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",legitimate,SMSSpamCollection
"Aight yo, dats straight dogg",legitimate,SMSSpamCollection
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,legitimate,SMSSpamCollection
Both :) i shoot big loads so get ready!,legitimate,SMSSpamCollection
"What's up bruv, hope you had a great break. Do have a rewarding semester.",legitimate,SMSSpamCollection
Home so we can always chat,legitimate,SMSSpamCollection
K:)k:)good:)study well.,legitimate,SMSSpamCollection
Yup... How ü noe leh...,legitimate,SMSSpamCollection
Sounds great! Are you home now?,legitimate,SMSSpamCollection
Finally the match heading towards draw as your prediction.,legitimate,SMSSpamCollection
Tired. I haven't slept well the past few nights.,legitimate,SMSSpamCollection
Easy ah?sen got selected means its good..,legitimate,SMSSpamCollection
I have to take exam with march 3,legitimate,SMSSpamCollection
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,legitimate,SMSSpamCollection
Ok no prob. Take ur time.,legitimate,SMSSpamCollection
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,legitimate,SMSSpamCollection
"Sorry, I'll call later",legitimate,SMSSpamCollection
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,legitimate,SMSSpamCollection
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",fraudulent,SMSSpamCollection
Would really appreciate if you call me. Just need someone to talk to.,legitimate,SMSSpamCollection
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",fraudulent,SMSSpamCollection
Hey company elama po mudyadhu.,legitimate,SMSSpamCollection
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",legitimate,SMSSpamCollection
Dear good morning now only i am up,legitimate,SMSSpamCollection
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,legitimate,SMSSpamCollection
Dear we are going to our rubber place,legitimate,SMSSpamCollection
"Sorry battery died, yeah I'm here",legitimate,SMSSpamCollection
Yes:)here tv is always available in work place..,legitimate,SMSSpamCollection
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,fraudulent,SMSSpamCollection
I have printed it oh. So  &lt;#&gt;  come upstairs,legitimate,SMSSpamCollection
Or ill be a little closer like at the bus stop on the same street,legitimate,SMSSpamCollection
Where are you?when wil you reach here?,legitimate,SMSSpamCollection
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",legitimate,SMSSpamCollection
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,fraudulent,SMSSpamCollection
Tomarrow final hearing on my laptop case so i cant.,legitimate,SMSSpamCollection
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,legitimate,SMSSpamCollection
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",legitimate,SMSSpamCollection
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",legitimate,SMSSpamCollection
U don't remember that old commercial?,legitimate,SMSSpamCollection
Too late. I said i have the website. I didn't i have or dont have the slippers,legitimate,SMSSpamCollection
I asked you to call him now ok,legitimate,SMSSpamCollection
Kallis wont bat in 2nd innings.,legitimate,SMSSpamCollection
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,legitimate,SMSSpamCollection
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,fraudulent,SMSSpamCollection
Ranjith cal drpd Deeraj and deepak 5min hold,legitimate,SMSSpamCollection
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",legitimate,SMSSpamCollection
What you doing?how are you?,legitimate,SMSSpamCollection
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",legitimate,SMSSpamCollection
"I'm back, lemme know when you're ready",legitimate,SMSSpamCollection
Don't necessarily expect it to be done before you get back though because I'm just now headin out,legitimate,SMSSpamCollection
Mmm so yummy babe ... Nice jolt to the suzy,legitimate,SMSSpamCollection
Where are you lover ? I need you ...,legitimate,SMSSpamCollection
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,fraudulent,SMSSpamCollection
I‘m parked next to a MINI!!!! When are you coming in today do you think?,legitimate,SMSSpamCollection
Yup,legitimate,SMSSpamCollection
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,legitimate,SMSSpamCollection
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,legitimate,SMSSpamCollection
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,fraudulent,SMSSpamCollection
Why you Dint come with us.,legitimate,SMSSpamCollection
Same. Wana plan a trip sometme then,legitimate,SMSSpamCollection
"Not sure yet, still trying to get a hold of him",legitimate,SMSSpamCollection
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,fraudulent,SMSSpamCollection
The evo. I just had to download flash. Jealous?,legitimate,SMSSpamCollection
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,fraudulent,SMSSpamCollection
"Come to mu, we're sorting out our narcotics situation",legitimate,SMSSpamCollection
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",legitimate,SMSSpamCollection
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,fraudulent,SMSSpamCollection
"Usf I guess, might as well take 1 car",legitimate,SMSSpamCollection
No objection. My bf not coming.,legitimate,SMSSpamCollection
Thanx...,legitimate,SMSSpamCollection
Tell rob to mack his gf in the theater,legitimate,SMSSpamCollection
"Awesome, I'll see you in a bit",legitimate,SMSSpamCollection
Just sent it. So what type of food do you like?,legitimate,SMSSpamCollection
All done? All handed in? Celebrations in full swing yet?,legitimate,SMSSpamCollection
You got called a tool?,legitimate,SMSSpamCollection
"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",legitimate,SMSSpamCollection
